City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saldanha,-33.0117,17.9442,68.05,82,0,8.39,ZA,1675999661
1,punta arenas,-53.15,-70.9167,46.51,76,20,17.27,CL,1675999530
2,kieta,-6.2167,155.6333,85.51,67,95,5.55,PG,1675999662
3,bengkulu,-3.8004,102.2655,82.26,68,99,5.7,ID,1675999440
4,ushuaia,-54.8,-68.3,46.06,81,100,12.66,AR,1675999662
5,port alfred,-33.5906,26.891,67.17,97,98,6.55,ZA,1675999663
6,albany,42.6001,-73.9662,49.95,86,100,7.34,US,1675998984
7,taoudenni,22.6783,-3.9836,66.6,18,100,13.53,ML,1675999663
8,alofi,-19.0595,-169.9187,85.89,70,75,9.22,NU,1675999664
9,meulaboh,4.1363,96.1285,80.26,84,79,10.47,ID,1675999664
10,vaini,-21.2,-175.2,82.56,83,75,5.75,TO,1675999664
11,darhan,49.4867,105.9228,6.33,90,100,3.56,MN,1675999665
12,grindavik,63.8424,-22.4338,36.07,87,100,32.21,IS,1675999665
13,sri aman,1.2376,111.4621,80.65,83,40,0.0,MY,1675999666
14,geraldton,-28.7667,114.6,81.01,65,75,23.02,AU,1675999428
15,chuy,-33.6971,-53.4616,69.15,90,0,4.07,UY,1675999667
16,rikitea,-23.1203,-134.9692,80.06,73,1,17.65,PF,1675999667
17,castro,-24.7911,-50.0119,66.15,80,93,3.04,BR,1675999668
18,gornopravdinsk,60.05,69.9,-7.56,100,99,3.2,RU,1675999668
19,carthage,36.8611,10.3316,47.73,81,75,13.8,TN,1675999669
20,carnarvon,-24.8667,113.6333,81.93,65,92,19.48,AU,1675999669
21,bluff,-46.6,168.3333,63.81,62,55,12.68,NZ,1675999669
22,hilo,19.7297,-155.09,73.13,83,75,9.22,US,1675999670
23,khetia,21.6667,74.5833,76.06,21,5,0.65,IN,1675999670
24,itarema,-2.9248,-39.9167,78.75,85,68,8.5,BR,1675999538
25,krasnoselkup,65.7,82.4667,-5.44,98,100,12.39,RU,1675999671
26,bredasdorp,-34.5322,20.0403,69.06,88,64,11.77,ZA,1675999671
27,luwuk,-0.9516,122.7875,86.14,61,100,1.1,ID,1675999672
28,mahebourg,-20.4081,57.7,81.25,78,40,6.91,MU,1675999672
29,plettenberg bay,-34.0527,23.3716,66.4,91,1,4.92,ZA,1675999673
30,pangkalanbuun,-2.6833,111.6167,90.34,49,51,4.76,ID,1675999673
31,port moresby,-9.4431,147.1797,87.22,62,75,17.27,PG,1675999674
32,lorengau,-2.0226,147.2712,81.86,80,99,14.23,PG,1675999674
33,jamestown,42.097,-79.2353,47.01,90,100,13.8,US,1675999618
34,zhaodong,46.0833,125.9833,24.87,87,99,6.49,CN,1675999675
35,olafsvik,64.8945,-23.7142,31.35,90,100,21.12,IS,1675999675
36,new norfolk,-42.7826,147.0587,72.91,61,52,1.99,AU,1675999676
37,busselton,-33.65,115.3333,77.72,47,0,13.0,AU,1675999677
38,iqaluit,63.7506,-68.5145,-31.27,73,20,2.3,CA,1675999677
39,owando,-0.4819,15.8999,72.86,57,59,2.06,CG,1675999677
40,tiksi,71.6872,128.8694,-39.57,99,82,4.32,RU,1675999678
41,mount gambier,-37.8333,140.7667,86.94,28,0,10.16,AU,1675999510
42,ahipara,-35.1667,173.1667,70.02,55,100,3.62,NZ,1675999679
43,east london,-33.0153,27.9116,68.94,94,100,4.61,ZA,1675999679
44,georgetown,5.4112,100.3354,87.73,73,20,5.75,MY,1675999400
45,northam,51.0333,-4.2167,35.38,81,90,4.34,GB,1675999680
46,bethel,41.3712,-73.414,50.36,84,100,1.01,US,1675999604
47,cape town,-33.9258,18.4232,70.92,75,0,9.22,ZA,1675999680
48,presidencia roque saenz pena,-26.7852,-60.4388,71.94,91,22,5.03,AR,1675999681
49,mataura,-46.1927,168.8643,63.48,35,62,5.79,NZ,1675999681
50,uvalde,29.3669,-99.767,58.19,51,0,6.91,US,1675999682
51,imeni zhelyabova,58.9544,36.5956,19.98,89,37,10.67,RU,1675999682
52,siilinjarvi,63.0833,27.6667,32.02,86,100,12.66,FI,1675999683
53,chokurdakh,70.6333,147.9167,-24.74,97,100,6.22,RU,1675999683
54,beloha,-25.1667,45.05,73.69,81,18,5.53,MG,1675999684
55,ambilobe,-13.2,49.05,71.71,94,100,2.66,MG,1675999684
56,qaanaaq,77.484,-69.3632,-9.15,60,0,9.4,GL,1675999685
57,taksimo,56.3444,114.8794,-3.19,92,98,0.6,RU,1675999685
58,butaritari,3.0707,172.7902,80.92,81,99,20.07,KI,1675999686
59,lompoc,34.6391,-120.4579,57.58,76,0,0.0,US,1675999686
60,saint-augustin,51.226,-58.6502,-1.62,84,6,7.87,CA,1675999687
61,dubbo,-32.25,148.6167,82.53,47,40,8.05,AU,1675999687
62,bosaso,11.2842,49.1816,71.56,83,11,2.04,SO,1675999688
63,shenjiamen,29.9576,122.298,46.6,91,98,16.96,CN,1675999688
64,broome,42.2506,-75.833,54.66,77,100,9.22,US,1675999689
65,longjiang,47.3303,123.1836,15.28,81,55,3.71,CN,1675999689
66,kapaa,22.0752,-159.319,82.38,79,75,19.57,US,1675999169
67,dunedin,-45.8742,170.5036,58.08,69,92,11.72,NZ,1675999690
68,hobart,-42.8794,147.3294,73.27,77,40,12.66,AU,1675999604
69,kattivakkam,13.2167,80.3167,77.09,72,53,2.57,IN,1675999690
70,westport,41.1415,-73.3579,54.45,86,100,3.0,US,1675999605
71,pascagoula,30.3658,-88.5561,61.52,79,100,5.75,US,1675999460
72,biloela,-24.4167,150.5,91.81,30,7,13.89,AU,1675999691
73,fortuna,40.5982,-124.1573,45.99,78,3,4.0,US,1675999692
74,atambua,-9.1061,124.8925,78.57,80,100,7.87,ID,1675999692
75,roshal,55.6685,39.8749,21.67,95,98,8.46,RU,1675999693
76,hermanus,-34.4187,19.2345,71.8,77,77,15.37,ZA,1675999693
77,changping,40.2186,116.2197,31.64,59,21,2.66,CN,1675999694
78,ginir,7.1333,40.7,56.66,47,8,3.91,ET,1675999694
79,kijang,35.2442,129.2139,46.13,85,86,7.07,KR,1675999694
